"Status","Monitor","URL","Response Time (ms)","Uptime 14d (%)","Interval","Last Check"
"Up","inhell.com","https://inhell.com/","639","100.00","30 minutes","Aug 6, 02:07:49 PM"
"Up","trade.padre.gg","https://trade.padre.gg/","74","100.00","5 minutes","Aug 6, 02:12:35 PM"
"Up","cockroachlabs.cloud","https://cockroachlabs.cloud/","164","99.89","5 minutes","Aug 6, 02:11:33 PM"
"Up","cockroachlabs.cloud","https://cockroachlabs.cloud","176","100.00","5 minutes","Aug 6, 02:12:04 PM"
"Up","gam.onl","https://gam.onl","63","100.00","5 minutes","Aug 6, 02:12:02 PM"
"Up","www.Americanexpress.com","https://www.Americanexpress.com","199","100.00","10 minutes","Aug 6, 02:12:04 PM"
"Up","www.genesisbank.com","https://www.genesisbank.com","264","99.95","10 minutes","Aug 6, 02:11:19 PM"
"Paused","www.mastercard.com.tr","https://www.mastercard.com.tr","0","null","10 minutes","Aug 6, 02:11:55 PM"
"Up","www.visa.ro","https://www.visa.ro","106","100.00","10 minutes","Aug 6, 02:03:52 PM"
"Up","www.visa.com.tw","https://www.visa.com.tw","311","100.00","10 minutes","Aug 6, 02:11:52 PM"
"Paused","www.en.bancatransilvania.ro","https://www.en.bancatransilvania.ro","90","0.00","10 minutes","Aug 6, 01:45:27 PM"
"Up","www.hxb.com.cn","https://www.hxb.com.cn","6409","96.52","30 minutes","Aug 6, 02:08:27 PM"
"Paused","www.moneykit.net","https://www.moneykit.net","31","0.00","5 minutes","Aug 6, 01:45:01 PM"
"Up","www.PENTHOUSE.com","https://www.PENTHOUSE.com","618","99.95","10 minutes","Aug 6, 02:08:00 PM"
"Up","www.PLAYGIRL.com","https://www.PLAYGIRL.com","473","100.00","10 minutes","Aug 6, 02:08:59 PM"
"Up","www.XVIDEOS.com","https://www.XVIDEOS.com","116","99.80","10 minutes","Aug 6, 02:12:58 PM"
